id,id_rating_count,id_rating_avg,ng_rating_count,ng_rating_avg,neighbourhood_group
1133977076133660123,1,5.0,225,4.657704081632654,Kreis 1
38540843,1,4.27,225,4.657704081632654,Kreis 1
1120934824940345706,1,5.0,225,4.657704081632654,Kreis 1
8370018,1,4.8,225,4.657704081632654,Kreis 1
43703654,1,5.0,225,4.657704081632654,Kreis 1
1095540574397737252,1,4.84,225,4.657704081632654,Kreis 1
26195945,1,4.93,225,4.657704081632654,Kreis 1
1144955364362114974,1,3.75,225,4.657704081632654,Kreis 1
25444276,1,3.8,225,4.657704081632654,Kreis 1
13432999,1,4.8,225,4.657704081632654,Kreis 1
878281922203565883,1,4.96,225,4.657704081632654,Kreis 1
1138507473325890016,1,4.69,225,4.657704081632654,Kreis 1
1136949216140954932,1,4.5,225,4.657704081632654,Kreis 1
39828123,1,4.43,225,4.657704081632654,Kreis 1
869261422741466411,1,5.0,225,4.657704081632654,Kreis 1
51147408,1,4.97,225,4.657704081632654,Kreis 1
43130528,1,4.63,225,4.657704081632654,Kreis 1
965777574152812653,1,4.83,225,4.657704081632654,Kreis 1
798514260617109038,1,4.79,225,4.657704081632654,Kreis 1
52523797,1,4.74,225,4.657704081632654,Kreis 1
2470664,1,4.61,225,4.657704081632654,Kreis 1
17854285,1,4.81,225,4.657704081632654,Kreis 1
8971198,1,4.82,225,4.657704081632654,Kreis 1
1186964756403487959,1,,225,4.657704081632654,Kreis 1
914581380782325706,1,4.5,225,4.657704081632654,Kreis 1
1158507473693828235,1,4.17,225,4.657704081632654,Kreis 1
835493761269933327,1,4.42,225,4.657704081632654,Kreis 1
6862908,1,4.8,225,4.657704081632654,Kreis 1
914565564330377161,1,4.89,225,4.657704081632654,Kreis 1
40770515,1,5.0,225,4.657704081632654,Kreis 1
860823521329212488,1,4.69,225,4.657704081632654,Kreis 1
1178823140205505776,1,5.0,225,4.657704081632654,Kreis 1
941100401087241394,1,4.8,225,4.657704081632654,Kreis 1
1128990398573899943,1,4.88,225,4.657704081632654,Kreis 1
718873462307507242,1,4.26,225,4.657704081632654,Kreis 1
1122242994399314018,1,4.71,225,4.657704081632654,Kreis 1
831986797711205003,1,4.4,225,4.657704081632654,Kreis 1
7841685,1,4.83,225,4.657704081632654,Kreis 1
716795868565487360,1,4.09,225,4.657704081632654,Kreis 1
47168882,1,4.82,225,4.657704081632654,Kreis 1
50406606,1,,225,4.657704081632654,Kreis 1
51264116,1,4.32,225,4.657704081632654,Kreis 1
1118244243395629749,1,,225,4.657704081632654,Kreis 1
41223016,1,4.42,225,4.657704081632654,Kreis 1
980245591651988920,1,5.0,225,4.657704081632654,Kreis 1
872422813897923548,1,4.82,225,4.657704081632654,Kreis 1
1128389820083587588,1,,225,4.657704081632654,Kreis 1
1880893,1,4.47,225,4.657704081632654,Kreis 1
310964,1,4.92,225,4.657704081632654,Kreis 1
19064159,1,,225,4.657704081632654,Kreis 1
5209282,1,4.72,225,4.657704081632654,Kreis 1
44606356,1,,225,4.657704081632654,Kreis 1
45664571,1,,225,4.657704081632654,Kreis 1
1069294592049247618,1,4.57,225,4.657704081632654,Kreis 1
716801931066684447,1,4.33,225,4.657704081632654,Kreis 1
2668952,1,4.54,225,4.657704081632654,Kreis 1
658004802598830432,1,4.69,225,4.657704081632654,Kreis 1
941938404056199881,1,4.86,225,4.657704081632654,Kreis 1
674536043458940121,1,4.22,225,4.657704081632654,Kreis 1
1107737437082543654,1,4.83,225,4.657704081632654,Kreis 1
51219779,1,4.69,225,4.657704081632654,Kreis 1
1034027236875169601,1,4.83,225,4.657704081632654,Kreis 1
679539028657313091,1,4.75,225,4.657704081632654,Kreis 1
654097074610481487,1,4.84,225,4.657704081632654,Kreis 1
813442147012786812,1,4.75,225,4.657704081632654,Kreis 1
43144750,1,4.81,225,4.657704081632654,Kreis 1
1012120964702329726,1,4.76,225,4.657704081632654,Kreis 1
45701656,1,4.73,225,4.657704081632654,Kreis 1
13307128,1,5.0,225,4.657704081632654,Kreis 1
1145433135014419943,1,5.0,225,4.657704081632654,Kreis 1
283737,1,4.47,225,4.657704081632654,Kreis 1
50266705,1,4.5,225,4.657704081632654,Kreis 1
18456292,1,5.0,225,4.657704081632654,Kreis 1
41918871,1,4.62,225,4.657704081632654,Kreis 1
810740689169989959,1,,225,4.657704081632654,Kreis 1
10762056,1,4.6,225,4.657704081632654,Kreis 1
1089666382993381878,1,4.37,225,4.657704081632654,Kreis 1
